sourcePort,destinationPort,protocolName,IPgeo,IP Region,deviceId,event_category,categoryDescription,eventDescription,relevance,credibility,severity,magnitude,Event_DateTime,eventCount,IP
62366,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.131.2.1
62185,53,udp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
62125,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.129.2.1
61978,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:48 PM",1,10.128.2.1
61122,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.128.2.1
61067,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:48 PM",1,10.128.2.1
60876,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:51 PM",1,10.128.2.1
60875,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.131.2.1
60573,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:51 PM",1,10.129.2.1
60418,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.129.2.1
60178,443,tcp_ip,United States,R1,31175,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 5:26:49 PM",1,10.131.2.1
59461,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.131.2.1
59282,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:51 PM",1,10.131.2.1
59150,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59149,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59148,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59147,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:49 PM",1,10.131.2.1
59146,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:49 PM",1,10.131.2.1
59144,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59143,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59142,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:48 PM",1,10.131.2.1
59141,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:48 PM",1,10.131.2.1
59140,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59139,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59138,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59136,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.0.1
59133,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59132,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59131,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59130,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.0.1
59129,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59127,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.0.1
59125,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59123,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59122,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59121,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59120,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59118,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59117,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59115,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59114,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59113,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59112,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59111,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.129.2.1
59110,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.129.2.1
59109,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.129.2.1
59108,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.0.1
59107,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59106,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:47 PM",1,10.128.2.1
59105,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59104,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:47 PM",1,10.128.2.1
59103,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59102,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59101,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.129.2.1
59100,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.129.2.1
59098,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.129.2.1
59097,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.0.1
59095,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59094,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59093,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59091,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.131.2.1
59090,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59089,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59087,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59086,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59085,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59084,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59083,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59081,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59080,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59079,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59078,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59077,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59076,443,tcp_ip,United States,R1,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
58908,443,tcp_ip,United States,R1,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.131.2.1
