sourcePort,destinationPort,protocolName,IPgeo,deviceId,event_category,categoryDescription,eventDescription,relevance,credibility,severity,magnitude,Event_DateTime,eventCount,IP
63986,443,tcp_ip,United States,31175,4002,Firewall Permit,Session was allowed by policy,10,8,0,6,"Mar 14, 2019, 5:26:55 PM",1,10.131.0.1
63827,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,8,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.128.2.1
63806,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,8,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.131.2.1
63533,443,tcp_ip,United States,32415,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 7:26:45 PM",1,10.131.2.1
63421,53,udp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
63092,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.131.2.1
63040,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:46 PM",1,10.131.2.1
63039,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:46 PM",1,10.131.2.1
63029,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:47 PM",1,10.131.2.1
62687,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:51 PM",1,10.131.2.1
62686,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:46 PM",1,10.131.2.1
62366,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.131.2.1
62185,53,udp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
62125,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.129.2.1
61978,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:48 PM",1,10.128.2.1
61122,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.128.2.1
61067,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,9,0,6,"Mar 14, 2019, 8:26:48 PM",1,10.128.2.1
60876,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,9,0,6,"Mar 14, 2019, 8:26:51 PM",1,10.128.2.1
60875,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,9,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.131.2.1
60573,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,8,0,6,"Mar 14, 2019, 8:26:51 PM",1,10.129.2.1
60418,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,8,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.129.2.1
60178,443,tcp_ip,United States,31175,4002,Firewall Permit,Session was allowed by policy,10,8,0,6,"Mar 14, 2019, 5:26:49 PM",1,10.131.2.1
59461,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.131.2.1
59282,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:51 PM",1,10.131.2.1
59150,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59149,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59148,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59147,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,9,0,6,"Mar 14, 2019, 8:26:49 PM",1,10.131.2.1
59146,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,9,0,6,"Mar 14, 2019, 8:26:49 PM",1,10.131.2.1
59144,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,9,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59143,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59142,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:48 PM",1,10.131.2.1
59141,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:48 PM",1,10.131.2.1
59140,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59139,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59138,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59136,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.0.1
59133,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59132,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59131,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,8,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59130,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,8,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.0.1
59129,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,8,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59127,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,8,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.0.1
59125,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,8,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59123,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,8,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59122,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59121,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59120,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59118,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59117,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59115,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59114,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59113,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59112,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59111,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.129.2.1
59110,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.129.2.1
59109,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.129.2.1
59108,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.0.1
59107,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59106,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:47 PM",1,10.128.2.1
59105,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59104,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:47 PM",1,10.128.2.1
59103,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59102,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59101,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.129.2.1
59100,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.129.2.1
59098,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.129.2.1
59097,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.0.1
59095,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59094,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59093,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59091,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.131.2.1
59090,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59089,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59087,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.128.2.1
59086,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59085,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59084,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59083,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59081,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59080,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59079,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.130.2.1
59078,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59077,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
59076,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.131.2.1
58908,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.131.2.1
58680,443,tcp_ip,United States,30096,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:56 PM",1,10.128.2.1
58678,443,tcp_ip,United States,30096,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:56 PM",1,10.131.2.1
58676,443,tcp_ip,United States,30096,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:56 PM",1,10.128.2.1
58666,53,udp_ip,United States,30096,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:53 PM",1,10.128.2.1
58544,53,udp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:55 PM",1,10.128.2.1
58497,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:48 PM",1,10.131.2.1
58333,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.130.2.1
58143,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.131.0.1
58142,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.128.2.1
58141,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.130.2.1
57979,53,udp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:48 PM",1,10.131.2.1
57784,80,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:56 PM",1,10.128.2.1
57738,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:56 PM",1,10.128.2.1
57733,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:55 PM",1,10.128.2.1
57729,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:56 PM",1,10.128.2.1
57727,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:55 PM",1,10.130.2.1
57673,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:56 PM",1,10.128.2.1
57672,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:46 PM",1,10.128.2.1
57539,80,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:48 PM",1,10.130.2.1
57505,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:55 PM",1,10.130.2.1
57493,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:55 PM",1,10.130.2.1
57474,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.131.2.1
57467,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.131.2.1
57466,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:55 PM",1,10.131.2.1
57465,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:53 PM",1,10.129.2.1
57147,443,tcp_ip,United States,32415,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 7:26:45 PM",1,10.129.2.1
56995,443,tcp_ip,United States,32415,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 7:26:45 PM",1,10.128.2.1
56876,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.128.2.1
56689,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.128.2.1
56685,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.128.2.1
56211,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.128.2.1
56178,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:51 PM",1,10.128.2.1
56177,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.128.2.1
56090,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:50 PM",1,10.128.2.1
56068,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:49 PM",1,10.129.2.1
56062,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:48 PM",1,10.129.2.1
55945,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.129.2.1
55906,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.129.2.1
55697,53,udp_ip,United States,30096,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:52 PM",1,10.129.2.1
55608,80,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:46 PM",1,10.129.2.1
55607,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:48 PM",1,10.129.2.1
55600,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.130.2.1
55454,443,tcp_ip,United States,32415,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 7:26:47 PM",1,10.130.2.1
55340,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.131.2.1
55097,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.131.2.1
54893,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.131.2.1
54691,443,tcp_ip,United States,30096,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:46 PM",1,10.131.2.1
54689,443,tcp_ip,United States,30096,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:46 PM",1,10.131.2.1
54611,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.131.2.1
54610,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:49 PM",1,10.131.2.1
54587,53,udp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:49 PM",1,10.131.2.1
54447,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.131.2.1
54414,443,tcp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:56 PM",1,10.131.0.1
54291,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:47 PM",1,10.129.2.1
54285,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.129.2.1
54284,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.131.0.1
54280,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.131.0.1
54279,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:47 PM",1,10.129.2.1
54043,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.129.2.1
53824,53,udp_ip,United States,507,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.129.2.1
53766,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.131.2.1
53739,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:45 PM",1,10.131.2.1
53687,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.131.2.1
53669,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.131.2.1
53579,443,tcp_ip,United States,31410,4002,Firewall Permit,Session was allowed by policy,10,10,0,6,"Mar 14, 2019, 8:26:54 PM",1,10.131.2.1
